Reg. Nr;Nosaukums;ATVK;Adrese;Kategorija;X koordināta;Y koordināta;Tips;Tipa nosaukums
88588/3107;"Šķidro minerālmēslu noliktava ""Angārs""";Talsu novads, Īves pagasts;Latvijas Republika, Talsu nov., Īves pag., Dūmciems, Melderi;Potenciāli piesārņota vieta;22.51243055;57.41226666;43;Minerālmēslu un pesticīdu glabātavas
88588/3108;"DUS ""Angārs""";Talsu novads, Īves pagasts;Latvijas Republika, Talsu nov., Īves pag.;Potenciāli piesārņota vieta;22.51196666;57.41259444;21;DUS (GUS)
88628/1707;JS Radiotehniskais bataljons, Aizsardzības ministrijas valdījuma objekts;Dundagas novads, Kolkas pagasts;Latvijas Republika, Dundagas nov., Kolkas pag., Kolka, Jūras Pērles;Potenciāli piesārņota vieta;22.58936111;57.74972222;50;Militārie objekti
88628/3109;"Sadzīves atkritumu izgāztuve ""Kolka""";Dundagas novads;Latvijas Republika, Dundagas nov.;Potenciāli piesārņota vieta;22.57293611;57.72218888;31;Vecas atkritumu izgāztuves
88648/3110;Sadzīves atkritumu izgāztuve Dālderi;Talsu novads, Ķūļciema pagasts;Latvijas Republika, Talsu nov., Ķūļciema pag.;Potenciāli piesārņota vieta;23.00905277;57.2574;31;Vecas atkritumu izgāztuves
88648/3111;"Pesticīdu noliktava ""Avoti""";Talsu novads, Ķūļciema pagasts;Latvijas Republika, Talsu nov., Ķūļciema pag., Kalnu noliktava;Potenciāli piesārņota vieta;23.03133888;57.26011111;43;Minerālmēslu un pesticīdu glabātavas
88648/3112;"Minerālmēslu noliktava ""Vējiņi""";Talsu novads, Ķūļciema pagasts;Latvijas Republika, Talsu nov., Ķūļciema pag.;Potenciāli piesārņota vieta;23.05730277;57.28142777;43;Minerālmēslu un pesticīdu glabātavas
88648/3113;Graudu kalte;Talsu novads, Ķūļciema pagasts;Latvijas Republika, Talsu nov., Ķūļciema pag., Ķūļciems, Kalte;Potenciāli piesārņota vieta;23.02846944;57.26973333;41;Fermas
88648/3114;Šķidro minerālmēslu noliktava;Talsu novads, Ķūļciema pagasts;Latvijas Republika, Talsu nov., Ķūļciema pag.;Potenciāli piesārņota vieta;23.028056;57.268889;43;Minerālmēslu un pesticīdu glabātavas
88648/3115;DUS bijušā kolhoza mehāniskajās darbnīcās;Talsu novads, Ķūļciema pagasts;Latvijas Republika, Talsu nov., Ķūļciema pag., Ķūļciems, Degviela;Potenciāli piesārņota vieta;23.03698055;57.26914444;21;DUS (GUS)
88648/3116;"Liellopu ferma ""Upenieki""";Talsu novads, Ķūļciema pagasts;Latvijas Republika, Talsu nov., Ķūļciema pag.;Potenciāli piesārņota vieta;22.983889;57.263056;41;Fermas
88648/3117;"Cūku komplekss ""Avoti""";Talsu novads, Ķūļciema pagasts;Latvijas Republika, Talsu nov., Ķūļciema pag., Krievragciems, Avoti;Potenciāli piesārņota vieta;23.04934722;57.27834444;41;Fermas
88648/3118;"Liellopu ferma ""Paegļi""";Talsu novads, Ķūļciema pagasts;Latvijas Republika, Talsu nov., Ķūļciema pag., Krievragciems, Paegļu ferma;Potenciāli piesārņota vieta;23.05222222;57.2825;41;Fermas
88688/3119;"Sadzīves atkritumu poligons ""Janvāri""";Talsu novads, Laidzes pagasts;Latvijas Republika, Talsu nov., Laidzes pag., Janvāri;Potenciāli piesārņota vieta;22.56016111;57.31755;31;Vecas atkritumu izgāztuves
88688/3120;"Bijusī PSRS armijas teritorija - poligons, šobrīd z/s ""Zeme""";Talsu novads, Laidzes pagasts;Latvijas Republika, Talsu nov., Laidzes pag.;Potenciāli piesārņota vieta;22.598056;57.281111;50;Militārie objekti
88688/3121;"Bijušā DUS z/s ""Jaunroceži""";Talsu novads, Laidzes pagasts;Latvijas Republika, Talsu nov., Laidzes pag., Roceži, Jaunroceži;Potenciāli piesārņota vieta;22.63433055;57.27937222;21;DUS (GUS)
88688/3122;"Pesticīdu noliktava pie bijušām ""Tiltiņu"" mājām";Talsu novads, Laidzes pagasts;Latvijas Republika, Talsu nov., Laidzes pag.;Potenciāli piesārņota vieta;22.6575;57.263056;43;Minerālmēslu un pesticīdu glabātavas
88708/3123;Pesticīdu noliktava;Talsu novads, Laucienes pagasts;Latvijas Republika, Talsu nov., Laucienes pag.;Potenciāli piesārņota vieta;22.888056;57.251111;43;Minerālmēslu un pesticīdu glabātavas
88708/3124;Minerālmēslu noliktava Lidlauks;Talsu novads, Laucienes pagasts;Latvijas Republika, Talsu nov., Laucienes pag.;Potenciāli piesārņota vieta;22.81525277;57.26596388;43;Minerālmēslu un pesticīdu glabātavas
